Entry	Gene Names (primary)	Protein names	Gene Ontology (molecular function)
P22694	PRKACB	cAMP-dependent protein kinase catalytic subunit beta (PKA C-beta) (EC 2.7.11.11)	ATP binding [GO:0005524]; cAMP-dependent protein kinase activity [GO:0004691]; magnesium ion binding [GO:0000287]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; ubiquitin protein ligase binding [GO:0031625]
P23443	RPS6KB1	Ribosomal protein S6 kinase beta-1 (S6K-beta-1) (S6K1) (EC 2.7.11.1) (70 kDa ribosomal protein S6 kinase 1) (P70S6K1) (p70-S6K 1) (Ribosomal protein S6 kinase I) (Serine/threonine-protein kinase 14A) (p70 ribosomal S6 kinase alpha) (p70 S6 kinase alpha) (p70 S6K-alpha) (p70 S6KA)	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]
P23458	JAK1	Tyrosine-protein kinase JAK1 (EC 2.7.10.2) (Janus kinase 1) (JAK-1)	ATP binding [GO:0005524]; CCR5 chemokine receptor binding [GO:0031730]; growth hormone receptor binding [GO:0005131]; metal ion binding [GO:0046872]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein phosphatase binding [GO:0019903]; protein tyrosine kinase activity [GO:0004713]; ubiquitin protein ligase binding [GO:0031625]
P23677	ITPKA	Inositol-trisphosphate 3-kinase A (EC 2.7.1.127) (Inositol 1,4,5-trisphosphate 3-kinase A) (IP3 3-kinase A) (IP3K A) (InsP 3-kinase A)	ATP binding [GO:0005524]; calcium/calmodulin-dependent protein kinase activity [GO:0004683]; calmodulin binding [GO:0005516]; inositol hexakisphosphate kinase activity [GO:0000828]; inositol-1,4,5-trisphosphate 3-kinase activity [GO:0008440]; small GTPase binding [GO:0031267]
P23743	DGKA	Diacylglycerol kinase alpha (DAG kinase alpha) (EC 2.7.1.107) (EC 2.7.1.93) (80 kDa diacylglycerol kinase) (Diglyceride kinase alpha) (DGK-alpha)	alkylglycerol kinase activity [GO:0047649]; ATP binding [GO:0005524]; ATP-dependent diacylglycerol kinase activity [GO:0004143]; calcium ion binding [GO:0005509]; kinase activity [GO:0016301]; lipid binding [GO:0008289]; phospholipid binding [GO:0005543]; zinc ion binding [GO:0008270]
P23919	DTYMK	Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)	ATP binding [GO:0005524]; dTMP kinase activity [GO:0004798]; nucleoside diphosphate kinase activity [GO:0004550]
P24723	PRKCH	Protein kinase C eta type (EC 2.7.11.13) (PKC-L) (nPKC-eta)	ATP binding [GO:0005524]; diacylglycerol-dependent serine/threonine kinase activity [GO:0004697]; diacylglycerol-dependent, calcium-independent serine/threonine kinase activity [GO:0004699]; enzyme binding [GO:0019899]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; small GTPase binding [GO:0031267]; zinc ion binding [GO:0008270]
P24941	CDK2	Cyclin-dependent kinase 2 (EC 2.7.11.22) (Cell division protein kinase 2) (p33 protein kinase)	ATP binding [GO:0005524]; cyclin binding [GO:0030332]; cyclin-dependent protein kinase activity [GO:0097472]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; magnesium ion binding [GO:0000287]; protein domain specific binding [GO:0019904]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
P25098	GRK2	Beta-adrenergic receptor kinase 1 (Beta-ARK-1) (EC 2.7.11.15) (G-protein coupled receptor kinase 2)	alpha-2A adrenergic receptor binding [GO:0031694]; ATP binding [GO:0005524]; beta-adrenergic receptor kinase activity [GO:0047696]; Edg-2 lysophosphatidic acid receptor binding [GO:0031755]; G protein-coupled receptor binding [GO:0001664]; G protein-coupled receptor kinase activity [GO:0004703]; protein kinase activity [GO:0004672]
P27037	ACVR2A	Activin receptor type-2A (EC 2.7.11.30) (Activin receptor type IIA) (ACTR-IIA) (ACTRIIA)	activin binding [GO:0048185]; activin receptor activity [GO:0017002]; activin receptor activity, type I [GO:0016361]; activin receptor activity, type II [GO:0016362]; ATP binding [GO:0005524]; BMP receptor activity [GO:0098821]; coreceptor activity [GO:0015026]; growth factor binding [GO:0019838]; identical protein binding [GO:0042802]; inhibin binding [GO:0034711]; metal ion binding [GO:0046872]; PDZ domain binding [GO:0030165]; protein serine/threonine kinase activity [GO:0004674]; transmembrane receptor protein serine/threonine kinase activity [GO:0004675]
P27144	AK4	Adenylate kinase 4, mitochondrial (EC 2.7.4.4) (EC 2.7.4.6) (Adenylate kinase 3-like) (GTP:AMP phosphotransferase AK4)	adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]; CMP kinase activity [GO:0036430]; dCMP kinase activity [GO:0036431]; deoxyadenylate kinase activity [GO:0047506]; GTP binding [GO:0005525]; nucleoside diphosphate kinase activity [GO:0004550]; nucleoside monophosphate kinase activity [GO:0050145]; nucleoside triphosphate adenylate kinase activity [GO:0046899]
P27361	MAPK3	Mitogen-activated protein kinase 3 (MAP kinase 3) (MAPK 3) (EC 2.7.11.24) (ERT2) (Extracellular signal-regulated kinase 1) (ERK-1) (Insulin-stimulated MAP2 kinase) (MAP kinase isoform p44) (p44-MAPK) (Microtubule-associated protein 2 kinase) (p44-ERK1)	ATP binding [GO:0005524]; DNA-binding transcription factor binding [GO:0140297]; identical protein binding [GO:0042802]; MAP kinase activity [GO:0004707]; phosphatase binding [GO:0019902]; phosphotyrosine residue binding [GO:0001784]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
P27448	MARK3	MAP/microtubule affinity-regulating kinase 3 (EC 2.7.11.1) (C-TAK1) (cTAK1) (Cdc25C-associated protein kinase 1) (ELKL motif kinase 2) (EMK-2) (Protein kinase STK10) (Ser/Thr protein kinase PAR-1) (Par-1a) (Serine/threonine-protein kinase p78)	ATP binding [GO:0005524]; protein phosphatase binding [GO:0019903]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; tau protein binding [GO:0048156]; tau-protein kinase activity [GO:0050321]
P27707	DCK	Deoxycytidine kinase (dCK) (EC 2.7.1.74) (Deoxyadenosine kinase) (EC 2.7.1.76) (Deoxyguanosine kinase) (EC 2.7.1.113)	ATP binding [GO:0005524]; cytidine kinase activity [GO:0043771]; deoxyadenosine kinase activity [GO:0004136]; deoxycytidine kinase activity [GO:0004137]; deoxyguanosine kinase activity [GO:0004138]; protein homodimerization activity [GO:0042803]
P27987	ITPKB	Inositol-trisphosphate 3-kinase B (EC 2.7.1.127) (Inositol 1,4,5-trisphosphate 3-kinase B) (IP3 3-kinase B) (IP3K B) (InsP 3-kinase B)	ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; inositol hexakisphosphate kinase activity [GO:0000828]; inositol-1,4,5-trisphosphate 3-kinase activity [GO:0008440]
P28482	MAPK1	Mitogen-activated protein kinase 1 (MAP kinase 1) (MAPK 1) (EC 2.7.11.24) (ERT1) (Extracellular signal-regulated kinase 2) (ERK-2) (MAP kinase isoform p42) (p42-MAPK) (Mitogen-activated protein kinase 2) (MAP kinase 2) (MAPK 2)	ATP binding [GO:0005524]; DNA binding [GO:0003677]; identical protein binding [GO:0042802]; MAP kinase activity [GO:0004707]; phosphatase binding [GO:0019902]; phosphotyrosine residue binding [GO:0001784]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; RNA polymerase II CTD heptapeptide repeat kinase activity [GO:0008353]
P29317	EPHA2	Ephrin type-A receptor 2 (EC 2.7.10.1) (Epithelial cell kinase) (Tyrosine-protein kinase receptor ECK)	ATP binding [GO:0005524]; cadherin binding [GO:0045296]; ephrin receptor activity [GO:0005003]; growth factor binding [GO:0019838]; molecular function activator activity [GO:0140677]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; virus receptor activity [GO:0001618]
P29320	EPHA3	Ephrin type-A receptor 3 (EC 2.7.10.1) (EPH-like kinase 4) (EK4) (hEK4) (HEK) (Human embryo kinase) (Tyrosine-protein kinase TYRO4) (Tyrosine-protein kinase receptor ETK1) (Eph-like tyrosine kinase 1)	ATP binding [GO:0005524]; ephrin receptor activity [GO:0005003]; GPI-linked ephrin receptor activity [GO:0005004]; transmembrane-ephrin receptor activity [GO:0005005]
P29322	EPHA8	Ephrin type-A receptor 8 (EC 2.7.10.1) (EPH- and ELK-related kinase) (EPH-like kinase 3) (EK3) (hEK3) (Tyrosine-protein kinase receptor EEK)	ATP binding [GO:0005524]; ephrin receptor activity [GO:0005003]; GPI-linked ephrin receptor activity [GO:0005004]; growth factor binding [GO:0019838]; transmembrane-ephrin receptor activity [GO:0005005]
P29323	EPHB2	Ephrin type-B receptor 2 (EC 2.7.10.1) (Developmentally-regulated Eph-related tyrosine kinase) (ELK-related tyrosine kinase) (EPH tyrosine kinase 3) (EPH-like kinase 5) (EK5) (hEK5) (Renal carcinoma antigen NY-REN-47) (Tyrosine-protein kinase TYRO5) (Tyrosine-protein kinase receptor EPH-3) [Cleaved into: EphB2/CTF1; EphB2/CTF2]	amyloid-beta binding [GO:0001540]; ATP binding [GO:0005524]; axon guidance receptor activity [GO:0008046]; identical protein binding [GO:0042802]; protein tyrosine kinase activity [GO:0004713]; protein-containing complex binding [GO:0044877]; signaling receptor binding [GO:0005102]; transmembrane-ephrin receptor activity [GO:0005005]
P29376	LTK	Leukocyte tyrosine kinase receptor (EC 2.7.10.1) (Protein tyrosine kinase 1)	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein tyrosine kinase activity [GO:0004713]; receptor signaling protein tyrosine kinase activator activity [GO:0030298]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]
P29597	TYK2	Non-receptor tyrosine-protein kinase TYK2 (EC 2.7.10.2)	ATP binding [GO:0005524]; growth hormone receptor binding [GO:0005131]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein tyrosine kinase activity [GO:0004713]
P30085	CMPK1	UMP-CMP kinase (EC 2.7.4.14) (Deoxycytidylate kinase) (CK) (dCMP kinase) (Nucleoside-diphosphate kinase) (EC 2.7.4.6) (Uridine monophosphate/cytidine monophosphate kinase) (UMP/CMP kinase) (UMP/CMPK)	(d)CMP kinase activity [GO:0004127]; ATP binding [GO:0005524]; CMP kinase activity [GO:0036430]; dCMP kinase activity [GO:0036431]; nucleoside diphosphate kinase activity [GO:0004550]; nucleoside monophosphate kinase activity [GO:0050145]; UMP kinase activity [GO:0033862]; uridine kinase activity [GO:0004849]
P30291	WEE1	Wee1-like protein kinase (WEE1hu) (EC 2.7.10.2) (Wee1A kinase)	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein tyrosine kinase activity [GO:0004713]
P30530	AXL	Tyrosine-protein kinase receptor UFO (EC 2.7.10.1) (AXL oncogene)	ATP binding [GO:0005524]; phosphatidylserine binding [GO:0001786]; protein tyrosine kinase activity [GO:0004713]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; virus receptor activity [GO:0001618]
P30613	PKLR	Pyruvate kinase PKLR (EC 2.7.1.40) (Pyruvate kinase 1) (Pyruvate kinase isozymes L/R) (R-type/L-type pyruvate kinase) (Red cell/liver pyruvate kinase)	ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; monosaccharide binding [GO:0048029]; potassium ion binding [GO:0030955]; pyruvate kinase activity [GO:0004743]
P31152	MAPK4	Mitogen-activated protein kinase 4 (MAP kinase 4) (MAPK 4) (EC 2.7.11.24) (Extracellular signal-regulated kinase 4) (ERK-4) (MAP kinase isoform p63) (p63-MAPK)	ATP binding [GO:0005524]; MAP kinase activity [GO:0004707]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
P31749	AKT1	RAC-alpha serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase B) (PKB) (Protein kinase B alpha) (PKB alpha) (Proto-oncogene c-Akt) (RAC-PK-alpha)	14-3-3 protein binding [GO:0071889]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; kinase binding [GO:0019900]; nitric-oxide synthase regulator activity [GO:0030235]; phosphatidylinositol-3,4,5-trisphosphate binding [GO:0005547]; phosphatidylinositol-3,4-bisphosphate binding [GO:0043325]; potassium channel activator activity [GO:0099104]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine kinase inhibitor activity [GO:0030291]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; TORC2 complex binding [GO:1904841]
P31751	AKT2	RAC-beta serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-2) (Protein kinase B beta) (PKB beta) (RAC protein kinase beta) (RAC-PK-beta)	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; molecular function activator activity [GO:0140677]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
P32189	GK	Glycerol kinase (Glycerokinase) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase)	ATP binding [GO:0005524]; glycerol kinase activity [GO:0004370]; metal ion binding [GO:0046872]
P32298	GRK4	G protein-coupled receptor kinase 4 (EC 2.7.11.16) (G protein-coupled receptor kinase GRK4) (ITI1)	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; rhodopsin kinase activity [GO:0050254]
P33076	CIITA	MHC class II transactivator (CIITA) (EC 2.3.1.-) (EC 2.7.11.1)	acyltransferase activity [GO:0016746]; ATP binding [GO:0005524]; DNA-binding transcription factor binding [GO:0140297]; GTP binding [GO:0005525]; histone deacetylase binding [GO:0042826]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein-containing complex binding [GO:0044877]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; transcription coactivator activity [GO:0003713]; transcription corepressor activity [GO:0003714]
P33981	TTK	Dual specificity protein kinase TTK (EC 2.7.12.1) (Phosphotyrosine picked threonine-protein kinase) (PYT)	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; kinetochore binding [GO:0043515]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein tyrosine kinase activity [GO:0004713]
P34925	RYK	Tyrosine-protein kinase RYK (EC 2.7.10.1)	ATP binding [GO:0005524]; coreceptor activity [GO:0015026]; frizzled binding [GO:0005109]; protein kinase activity [GO:0004672]; transmembrane signaling receptor activity [GO:0004888]; Wnt receptor activity [GO:0042813]; Wnt-protein binding [GO:0017147]
P34947	GRK5	G protein-coupled receptor kinase 5 (EC 2.7.11.16) (G protein-coupled receptor kinase GRK5)	ATP binding [GO:0005524]; beta-adrenergic receptor kinase activity [GO:0047696]; G protein-coupled receptor kinase activity [GO:0004703]; phospholipid binding [GO:0005543]; protein kinase activity [GO:0004672]; protein kinase C binding [GO:0005080]; protein serine/threonine kinase activity [GO:0004674]
P35557	GCK	Hexokinase-4 (HK4) (EC 2.7.1.1) (Glucokinase) (Hexokinase type IV) (HK IV) (Hexokinase-D)	ATP binding [GO:0005524]; D-glucose binding [GO:0005536]; fructokinase activity [GO:0008865]; glucokinase activity [GO:0004340]; glucose sensor activity [GO:0141089]; mannokinase activity [GO:0019158]
P35558	PCK1	Phosphoenolpyruvate carboxykinase, cytosolic [GTP] (PEPCK-C) (EC 4.1.1.32) (Serine-protein kinase PCK1) (EC 2.7.11.-)	carboxylic acid binding [GO:0031406]; GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; phosphoenolpyruvate carboxykinase (GTP) activity [GO:0004613]; protein serine kinase activity (using GTP as donor) [GO:0106264]
P35590	TIE1	Tyrosine-protein kinase receptor Tie-1 (EC 2.7.10.1)	ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]
P35626	GRK3	G protein-coupled receptor kinase 3 (EC 2.7.11.15) (Beta-adrenergic receptor kinase 2) (Beta-ARK-2)	ATP binding [GO:0005524]; beta-adrenergic receptor kinase activity [GO:0047696]; G protein-coupled receptor binding [GO:0001664]; G protein-coupled receptor kinase activity [GO:0004703]; protein kinase activity [GO:0004672]
P35790	CHKA	Choline kinase alpha (CK) (EC 2.7.1.32) (CHETK-alpha) (Ethanolamine kinase) (EK) (EC 2.7.1.82)	ATP binding [GO:0005524]; choline kinase activity [GO:0004103]; cholinesterase activity [GO:0004104]; ethanolamine kinase activity [GO:0004305]; protein homodimerization activity [GO:0042803]; protein tyrosine kinase activity [GO:0004713]
P35916	FLT4	Vascular endothelial growth factor receptor 3 (VEGFR-3) (EC 2.7.10.1) (Fms-like tyrosine kinase 4) (FLT-4) (Tyrosine-protein kinase receptor FLT4)	ATP binding [GO:0005524]; growth factor binding [GO:0019838]; protein homodimerization activity [GO:0042803]; protein phosphatase binding [GO:0019903]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; vascular endothelial growth factor receptor activity [GO:0005021]
P35968	KDR	Vascular endothelial growth factor receptor 2 (VEGFR-2) (EC 2.7.10.1) (Fetal liver kinase 1) (FLK-1) (Kinase insert domain receptor) (KDR) (Protein-tyrosine kinase receptor flk-1) (CD antigen CD309)	ATP binding [GO:0005524]; cadherin binding [GO:0045296]; coreceptor activity [GO:0015026]; growth factor binding [GO:0019838]; Hsp90 protein binding [GO:0051879]; identical protein binding [GO:0042802]; integrin binding [GO:0005178]; protein tyrosine kinase activity [GO:0004713]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; vascular endothelial growth factor binding [GO:0038085]; vascular endothelial growth factor receptor activity [GO:0005021]
P36507	MAP2K2	Dual specificity mitogen-activated protein kinase kinase 2 (MAP kinase kinase 2) (MAPKK 2) (EC 2.7.12.2) (ERK activator kinase 2) (MAPK/ERK kinase 2) (MEK 2)	ATP binding [GO:0005524]; MAP kinase kinase activity [GO:0004708]; MAP-kinase scaffold activity [GO:0005078]; metal ion binding [GO:0046872]; PDZ domain binding [GO:0030165]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activator activity [GO:0043539]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein tyrosine kinase activity [GO:0004713]; scaffold protein binding [GO:0097110]
P36888	FLT3	Receptor-type tyrosine-protein kinase FLT3 (EC 2.7.10.1) (FL cytokine receptor) (Fetal liver kinase-2) (FLK-2) (Fms-like tyrosine kinase 3) (FLT-3) (Stem cell tyrosine kinase 1) (STK-1) (CD antigen CD135)	ATP binding [GO:0005524]; cytokine receptor activity [GO:0004896]; growth factor binding [GO:0019838]; nuclear glucocorticoid receptor binding [GO:0035259]; phosphatidylinositol 3-kinase activator activity [GO:0141038]; protein tyrosine kinase activity [GO:0004713]; protein-containing complex binding [GO:0044877]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; vascular endothelial growth factor receptor activity [GO:0005021]
P36894	BMPR1A	Bone morphogenetic protein receptor type-1A (BMP type-1A receptor) (BMPR-1A) (EC 2.7.11.30) (Activin receptor-like kinase 3) (ALK-3) (Serine/threonine-protein kinase receptor R5) (SKR5) (CD antigen CD292)	ATP binding [GO:0005524]; BMP binding [GO:0036122]; BMP receptor activity [GO:0098821]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]; protein serine/threonine kinase activity [GO:0004674]; SMAD binding [GO:0046332]; transforming growth factor beta receptor activity, type I [GO:0005025]; transmembrane receptor protein serine/threonine kinase activity [GO:0004675]
P36896	ACVR1B	Activin receptor type-1B (EC 2.7.11.30) (Activin receptor type IB) (ACTR-IB) (Activin receptor-like kinase 4) (ALK-4) (Serine/threonine-protein kinase receptor R2) (SKR2)	activin binding [GO:0048185]; activin receptor activity [GO:0017002]; activin receptor activity, type I [GO:0016361]; ATP binding [GO:0005524]; I-SMAD binding [GO:0070411]; inhibin binding [GO:0034711]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]; SMAD binding [GO:0046332]; transmembrane receptor protein serine/threonine kinase activity [GO:0004675]; ubiquitin protein ligase binding [GO:0031625]
P36897	TGFBR1	TGF-beta receptor type-1 (TGFR-1) (EC 2.7.11.30) (Activin A receptor type II-like protein kinase of 53kD) (Activin receptor-like kinase 5) (ALK-5) (ALK5) (Serine/threonine-protein kinase receptor R4) (SKR4) (TGF-beta type I receptor) (Transforming growth factor-beta receptor type I) (TGF-beta receptor type I) (TbetaR-I)	activin binding [GO:0048185]; activin receptor activity, type I [GO:0016361]; ATP binding [GO:0005524]; I-SMAD binding [GO:0070411]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; SMAD binding [GO:0046332]; transforming growth factor beta binding [GO:0050431]; transforming growth factor beta receptor activity [GO:0005024]; transforming growth factor beta receptor activity, type I [GO:0005025]; transmembrane receptor protein serine/threonine kinase activity [GO:0004675]; type II transforming growth factor beta receptor binding [GO:0005114]; ubiquitin protein ligase binding [GO:0031625]
P37023	ACVRL1	Activin receptor type-1-like (EC 2.7.11.30) (Activin receptor-like kinase 1) (ALK-1) (Serine/threonine-protein kinase receptor R3) (SKR3) (TGF-B superfamily receptor type I) (TSR-I)	activin binding [GO:0048185]; activin receptor activity, type I [GO:0016361]; ATP binding [GO:0005524]; BMP receptor activity [GO:0098821]; metal ion binding [GO:0046872]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activity [GO:0004674]; SMAD binding [GO:0046332]; transforming growth factor beta binding [GO:0050431]; transforming growth factor beta receptor activity [GO:0005024]; transforming growth factor beta receptor activity, type I [GO:0005025]; transmembrane receptor protein serine/threonine kinase activity [GO:0004675]
P37173	TGFBR2	TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II) (TGF-beta receptor type II) (TbetaR-II)	activin binding [GO:0048185]; activin receptor activity, type I [GO:0016361]; ATP binding [GO:0005524]; glycosaminoglycan binding [GO:0005539]; kinase activator activity [GO:0019209]; metal ion binding [GO:0046872]; molecular adaptor activity [GO:0060090]; protein serine/threonine kinase activity [GO:0004674]; SMAD binding [GO:0046332]; transforming growth factor beta binding [GO:0050431]; transforming growth factor beta receptor activity [GO:0005024]; transforming growth factor beta receptor activity, type II [GO:0005026]; transmembrane receptor protein serine/threonine kinase activity [GO:0004675]; type I transforming growth factor beta receptor binding [GO:0034713]; type III transforming growth factor beta receptor binding [GO:0034714]
P41240	CSK	Tyrosine-protein kinase CSK (EC 2.7.10.2) (C-Src kinase) (Protein-tyrosine kinase CYL)	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; proline-rich region binding [GO:0070064]; protein kinase A catalytic subunit binding [GO:0034236]; protein phosphatase binding [GO:0019903]; protein tyrosine kinase activity [GO:0004713]; protein tyrosine kinase binding [GO:1990782]
P41279	MAP3K8	Mitogen-activated protein kinase kinase kinase 8 (EC 2.7.11.25) (Cancer Osaka thyroid oncogene) (Proto-oncogene c-Cot) (Serine/threonine-protein kinase cot) (Tumor progression locus 2) (TPL-2)	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; MAP kinase kinase kinase activity [GO:0004709]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
P41743	PRKCI	Protein kinase C iota type (EC 2.7.11.13) (Atypical protein kinase C-lambda/iota) (PRKC-lambda/iota) (aPKC-lambda/iota) (nPKC-iota)	ATP binding [GO:0005524]; diacylglycerol-dependent serine/threonine kinase activity [GO:0004697]; diacylglycerol-dependent, calcium-independent serine/threonine kinase activity [GO:0004699]; phospholipid binding [GO:0005543]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; zinc ion binding [GO:0008270]
P42336	PIK3CA	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform (PI3-kinase subunit alpha) (PI3K-alpha) (PI3Kalpha) (PtdIns-3-kinase subunit alpha) (EC 2.7.1.137) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit alpha) (PtdIns-3-kinase subunit p110-alpha) (p110alpha) (Phosphoinositide 3-kinase alpha) (Phosphoinositide-3-kinase catalytic alpha polypeptide) (Serine/threonine protein kinase PIK3CA) (EC 2.7.11.1)	1-phosphatidylinositol-3-kinase activity [GO:0016303]; 1-phosphatidylinositol-4,5-bisphosphate 3-kinase activity [GO:0046934]; 1-phosphatidylinositol-4-phosphate 3-kinase activity [GO:0035005]; ATP binding [GO:0005524]; insulin receptor substrate binding [GO:0043560]; protein kinase activator activity [GO:0030295]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
P42338	PIK3CB	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform (PI3-kinase subunit beta) (PI3K-beta) (PI3Kbeta) (PtdIns-3-kinase subunit beta) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit beta) (PtdIns-3-kinase subunit p110-beta) (p110beta) (Serine/threonine protein kinase PIK3CB) (EC 2.7.11.1)	1-phosphatidylinositol-3-kinase activity [GO:0016303]; 1-phosphatidylinositol-4,5-bisphosphate 3-kinase activity [GO:0046934]; 1-phosphatidylinositol-4-phosphate 3-kinase activity [GO:0035005]; ATP binding [GO:0005524]; insulin receptor substrate binding [GO:0043560]; protein serine kinase activity [GO:0106310]
P42345	MTOR	Serine/threonine-protein kinase mTOR (EC 2.7.11.1) (FK506-binding protein 12-rapamycin complex-associated protein 1) (FKBP12-rapamycin complex-associated protein) (Mammalian target of rapamycin) (mTOR) (Mechanistic target of rapamycin) (Rapamycin and FKBP12 target 1) (Rapamycin target protein 1) (Tyrosine-protein kinase mTOR) (EC 2.7.10.2)	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; inositol hexakisphosphate binding [GO:0000822]; phosphoprotein binding [GO:0051219]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]; ribosome binding [GO:0043022]; RNA polymerase III type 1 promoter sequence-specific DNA binding [GO:0001002]; RNA polymerase III type 2 promoter sequence-specific DNA binding [GO:0001003]; RNA polymerase III type 3 promoter sequence-specific DNA binding [GO:0001006]; TFIIIC-class transcription factor complex binding [GO:0001156]; transmembrane transporter binding [GO:0044325]
P42356	PI4KA	Phosphatidylinositol 4-kinase alpha (PI4-kinase alpha) (PI4K-alpha) (PtdIns-4-kinase alpha) (EC 2.7.1.67) (Phosphatidylinositol 4-Kinase III alpha)	1-phosphatidylinositol 4-kinase activity [GO:0004430]; ATP binding [GO:0005524]; cadherin binding [GO:0045296]
P42679	MATK	Megakaryocyte-associated tyrosine-protein kinase (EC 2.7.10.2) (CSK homologous kinase) (CHK) (Hematopoietic consensus tyrosine-lacking kinase) (Protein kinase HYL) (Tyrosine-protein kinase CTK)	ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein tyrosine kinase activity [GO:0004713]
P42680	TEC	Tyrosine-protein kinase Tec (EC 2.7.10.2)	ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; phospholipid binding [GO:0005543]; zinc ion binding [GO:0008270]
